Dataset,Model,Target,MSE,RMSE,R2,Training_Time(s)
cijs_sci,DecisionTree,Cij,0.009323058903553408,0.09655598843962714,0.9187357555853993,0.4911842346191406
cijs_sci,RandomForest,Cij,0.006286423997709214,0.07928697243374358,0.9452045190823645,7.642370939254761
cijs_sci,XGBoost,Cij,0.005846149187357058,0.07646011501009567,0.9490421650919175,0.3716857433319092
cijs_sci,PhysicsXGB,Cij,0.005153216949565117,0.07178591052264446,0.9550820941878517,12.872124910354614
cijs_sci,PhysicsXGB (tuning_val),Cij,,,0.9903123443122157,
cijs_xci,DecisionTree,Cij,0.04008458660150193,0.20021135482659802,0.5956100644840274,0.3997657299041748
cijs_xci,RandomForest,Cij,0.022347116810999598,0.14948952073974817,0.7745530166992061,5.293561697006226
cijs_xci,XGBoost,Cij,0.019816274360458613,0.14077028933854832,0.8000852050575364,0.38979029655456543
cijs_xci,PhysicsXGB,Cij,0.01687635275215942,0.129909017208812,0.8297443536330535,6.834758520126343
cijs_xci,PhysicsXGB (tuning_val),Cij,,,0.9113649611353397,
rho_sci,DecisionTree,rho,0.005989808321376343,0.07739385196109794,0.7365347361807442,0.42584943771362305
rho_sci,RandomForest,rho,0.0056207341016479735,0.07497155528364056,0.7527686841557735,7.442244529724121
rho_sci,XGBoost,rho,0.006245668539789743,0.07902954219650866,0.7252805730542606,0.3114657402038574
rho_sci,PhysicsXGB,rho,0.0018785324788202968,0.04334204054749034,0.9173716371926064,7.910239934921265
rho_sci,PhysicsXGB (tuning_val),rho,,,0.9974972902160022,
rho_xci,DecisionTree,rho,0.027412700255092324,0.16556781165157775,0.3160176147012119,0.3103463649749756
rho_xci,RandomForest,rho,0.018035342780218098,0.13429572882343688,0.5499948323331161,5.112422943115234
rho_xci,XGBoost,rho,0.011230801057462308,0.10597547384872741,0.7197769637935527,0.27246618270874023
rho_xci,PhysicsXGB,rho,0.014261997381248398,0.11942360479088042,0.6441446885138863,4.236044883728027
rho_xci,PhysicsXGB (tuning_val),rho,,,0.9828397829129366,
