alpha_i,alpha_j,D_i,D_j,D_acc_j,D_acc_i_pre,D_acc_ij,D_acc_i_span,D_acc_j_span,effective_length_i,effective_length_j,length_i,length_j,Df,pd_pr,pd_pp,Cij
4.835428695287496e-05,4.1446531673892815e-05,1.1e-05,5e-06,5.845000000000001,7.890000000000001,2.31,0.869,0.2649999999999999,20227.2024319106,21445.14369176307,79000.0,53000.0,185809187895.40625,0.0,0.0,-0.0051853357840577
4.1446531673892815e-05,4.1446531673892815e-05,1.6e-05,1.9e-05,2.309,-5.600000000000001,-6.5600000000000005,1.008,1.3489999999999998,22355.27499561373,22855.39888623317,63000.0,71000.0,202096772770.1875,0.0,0.0,-0.005969076550488
3.9143946580898775e-05,4.605170185988091e-05,1.1e-05,5e-06,-0.9300000000000004,-4.44,-3.1100000000000003,0.6819999999999999,0.3999999999999999,23290.75347765332,21169.274886976465,62000.0,80000.0,354970767472.40625,0.0,0.0,-0.0059548945910096
4.374911676688687e-05,4.1446531673892815e-05,7.000000000000001e-06,8e-06,-5.236000000000001,-0.3900000000000005,5.35,0.483,0.504,21740.66208316274,22355.27499561373,69000.0,63000.0,429356597737.03125,0.0,0.0,0.0106539326712884
4.835428695287496e-05,4.835428695287496e-05,2e-06,6e-06,-2.866,-2.65,0.66,0.1999999999999999,0.444,20516.41705769737,20103.172290287093,100000.0,74000.0,130735508813.1875,0.0,0.0,-0.0495467851670896
5.0656872045869005e-05,4.374911676688687e-05,8e-06,0.0,-0.93,-8.49,-7.56,0.6719999999999999,0.0,19460.526972341955,20885.04209334969,84000.0,56000.0,248361774399.03125,0.0,0.0,0.0014011336800002
4.374911676688687e-05,4.1446531673892815e-05,2e-05,-2e-06,-4.454,-6.619999999999999,-2.32,1.0399999999999998,-0.154,20507.80533394517,23135.470910670912,52000.0,77000.0,126295616518.34377,0.0,0.0,-0.0166800872739763
3.9143946580898775e-05,4.835428695287496e-05,1.7e-05,2e-05,5.47,5.38,1.73,1.241,1.82,24080.054161918,20426.846716838816,73000.0,91000.0,166532237823.34375,0.0,0.0,0.0158417946659181
5.295945713886305e-05,4.605170185988091e-05,-1e-06,1.6e-05,-6.392,-14.16,-6.280000000000001,-0.0829999999999999,1.488,18649.52937636767,21414.97746065104,83000.0,93000.0,126379403567.34377,0.0,0.0,-0.0070082215276883
4.835428695287496e-05,4.605170185988091e-05,1.6e-05,8e-06,7.194,10.94,4.49,0.912,0.744,19366.781434032644,21414.97746065104,57000.0,93000.0,409791525023.28125,0.0,0.0,-0.0244509975575979
5.0656872045869005e-05,5.0656872045869005e-05,-2e-06,1.5e-05,-2.390000000000001,3.22,7.11,-0.122,1.4999999999999998,18842.4818871704,19616.103135136866,61000.0,100000.0,473167821445.34375,0.0,0.0,0.0116304711658753
4.605170185988091e-05,5.52620422318571e-05,-2e-06,-4e-06,-1.366,-1.41,-0.32,-0.118,-0.2759999999999999,20280.04650166593,17696.051632816172,59000.0,69000.0,127021086393.59377,0.0,0.0,-0.1136038100809587
4.605170185988091e-05,5.0656872045869005e-05,5e-06,8e-06,-1.8040000000000005,3.6,5.9,0.2649999999999999,0.496,19823.45068987973,18886.84749485081,53000.0,62000.0,429800639533.5625,0.0,0.0,0.0159326475565583
3.9143946580898775e-05,5.295945713886305e-05,2e-06,8e-06,-5.094,-2.9800000000000004,2.73,0.126,0.616,23377.35543873097,18562.43766656992,63000.0,77000.0,492412548663.0,0.0,0.0,0.0053219349021384
5.295945713886305e-05,4.374911676688687e-05,-3e-06,2e-06,-7.638000000000001,-15.48,-7.72,-0.273,0.122,18729.94368308222,21272.599041422145,91000.0,61000.0,353218297349.5,0.0,0.0,0.0146825208738351
5.295945713886305e-05,4.605170185988091e-05,1.2e-05,-5e-06,-2.7350000000000003,-0.7600000000000002,1.65,0.852,-0.3249999999999999,18442.7700016322,20626.40984533919,71000.0,65000.0,364163238394.25,0.0,0.0,-0.0024796609653115
4.605170185988091e-05,4.605170185988091e-05,4e-06,-6e-06,-1.338,4.970000000000001,5.9,0.2319999999999999,-0.408,20212.432229763275,20766.84200913604,58000.0,68000.0,245736321491.8437,0.0,0.0,0.0049896434602567
4.374911676688687e-05,4.835428695287496e-05,1.7e-05,1e-06,-3.526,-8.55,-4.97,1.411,0.054,22252.22062884647,19161.66428195462,83000.0,54000.0,365970161916.8125,0.0,0.0,-0.001560310298311
3.9143946580898775e-05,3.9143946580898775e-05,-6e-06,8e-06,6.346,11.59,5.74,-0.552,0.496,24849.569528244167,23290.75347765332,92000.0,62000.0,374897258947.7188,0.0,0.0,-0.0060551507556754
4.374911676688687e-05,4.835428695287496e-05,1.1e-05,0.0,3.17,6.549999999999999,3.3799999999999994,0.638,0.0,21050.302389122942,20227.2024319106,58000.0,79000.0,227339554728.0,0.0,0.0,-0.0046410879298709
4.835428695287496e-05,5.0656872045869005e-05,1e-06,7.000000000000001e-06,-1.367,5.460000000000001,7.380000000000001,0.063,0.553,19697.66358738725,19379.779251858294,63000.0,79000.0,116202340263.40623,0.0,0.0,0.0036023990625133
3.6841361487904736e-05,5.52620422318571e-05,1.7e-05,8e-06,-6.214,-9.45,-2.5,1.326,0.736,25609.973801552616,17983.511812314635,78000.0,92000.0,321097697945.125,0.0,0.0,0.0114682004727916
4.1446531673892815e-05,3.6841361487904736e-05,8e-06,1.3e-05,1.08,1.6800000000000002,1.25,0.424,0.65,21445.14369176307,22841.465319628925,53000.0,50000.0,366915307266.59375,0.0,0.0,-0.0013574233556088
5.0656872045869005e-05,5.52620422318571e-05,9e-06,1.7e-05,-6.379000000000001,-1.1100000000000012,6.17,0.81,0.901,19533.94820002878,17128.276948017778,90000.0,53000.0,448019421894.15625,0.0,0.0,-0.0093503474039534
4.835428695287496e-05,3.9143946580898775e-05,-4e-06,1.3e-05,3.573,9.6,6.95,-0.312,0.923,20204.73557552537,23960.616608716475,78000.0,71000.0,129023963650.53123,0.0,0.0,0.0052810590570558
4.605170185988091e-05,5.52620422318571e-05,-3e-06,2e-06,-0.5600000000000002,-4.260000000000001,-3.5700000000000003,-0.15,0.13,19543.251685646333,17597.209109402444,50000.0,65000.0,357699232687.3125,0.0,0.0,0.0006745729097673
4.605170185988091e-05,5.52620422318571e-05,1.7e-05,0.0,-4.48,2.47,6.95,1.547,0.0,21386.05844605337,17438.5917639404,91000.0,60000.0,466460113488.5625,0.0,0.0,-0.0009387055916564
5.0656872045869005e-05,5.0656872045869005e-05,0.0,8e-06,-3.714,-1.56,2.57,0.0,0.416,18695.06776402045,18323.685087235048,58000.0,52000.0,476751347528.75,0.0,0.0,-0.0059928173575259
5.0656872045869005e-05,4.835428695287496e-05,1e-06,-3e-06,-7.999,-8.94,-1.19,0.087,-0.249,19500.02169727939,20306.953542647763,87000.0,83000.0,460660689864.625,0.0,0.0,-0.0017660319215072
4.605170185988091e-05,3.9143946580898775e-05,1.5e-05,9e-06,-5.227000000000001,-12.910000000000002,-7.170000000000001,0.8699999999999999,0.513,20212.432229763275,22803.042021354115,58000.0,57000.0,279340802465.46875,0.0,0.0,0.0049212873487197
4.835428695287496e-05,5.295945713886305e-05,1.3e-05,1.3e-05,1.121,7.68,7.43,0.7150000000000001,0.8710000000000001,19233.368104593206,18339.047798507963,55000.0,67000.0,153564759195.0625,0.0,0.0,0.0013891566042796
3.6841361487904736e-05,4.1446531673892815e-05,1e-05,-5e-06,-2.4450000000000003,-5.29,-3.1899999999999995,0.5599999999999999,-0.345,23694.63435182054,22745.45924177383,56000.0,69000.0,166311883101.75,0.0,0.0,-0.0087750619609447
5.295945713886305e-05,4.835428695287496e-05,6e-06,-2e-06,7.27,13.96,6.500000000000001,0.6,-0.19,18787.73275667848,20471.48800730162,100000.0,95000.0,474279229742.03125,0.0,0.0,0.003596015604423
4.374911676688687e-05,3.6841361487904736e-05,3e-06,6e-06,-2.54,-6.92,-3.9,0.195,0.48,21527.05580871843,25718.898968652386,65000.0,80000.0,263190034482.8125,0.0,0.0,0.0092868819052917
4.835428695287496e-05,4.605170185988091e-05,9e-06,0.0,-7.45,0.0300000000000011,7.480000000000001,0.603,0.0,19870.540397496126,21476.626880106483,67000.0,98000.0,463103777739.9063,0.0,0.0,0.0083061761365146
4.374911676688687e-05,3.6841361487904736e-05,3e-06,1e-05,8.000000000000002,7.160000000000002,-0.3199999999999998,0.198,0.5199999999999999,21584.011173032897,23147.04764743013,66000.0,52000.0,151389796300.21875,0.0,0.0,-0.0737621885086997
4.835428695287496e-05,4.835428695287496e-05,1.4e-05,1.5e-05,8.965,9.25,1.38,1.2460000000000002,1.095,20401.071684284343,20074.56067945974,89000.0,73000.0,346836155456.09375,0.0,0.0,-0.0456404457631131
5.52620422318571e-05,5.295945713886305e-05,-5e-06,8e-06,-5.578,-10.52,-4.39,-0.4599999999999999,0.5519999999999999,17983.511812314635,18393.652870992813,92000.0,69000.0,364505988422.84375,0.0,0.0,-0.0031556679090545
4.374911676688687e-05,5.295945713886305e-05,-5e-06,6e-06,-6.408,-10.1,-3.2600000000000007,-0.2599999999999999,0.432,20507.80533394517,18465.44518206905,52000.0,72000.0,101035330831.65623,0.0,0.0,-0.0006936996746298
3.9143946580898775e-05,5.52620422318571e-05,2e-05,-3e-06,0.427,6.69,6.08,1.92,-0.183,24950.61190007288,17473.91457518999,96000.0,61000.0,364446216212.03125,0.0,0.0,0.0005159890718958
5.0656872045869005e-05,4.605170185988091e-05,5e-06,2e-05,7.27,10.21,4.2,0.48,1.2599999999999998,19588.126034520155,20521.411249679302,96000.0,63000.0,213817345660.21875,0.0,0.0,0.0104261924887323
4.374911676688687e-05,5.0656872045869005e-05,1e-05,1.5e-05,-2.2350000000000003,-2.66,0.61,0.8099999999999999,1.035,22196.86414129743,19141.74817742486,81000.0,69000.0,451242368993.875,0.0,0.0,0.0765794019983368
4.605170185988091e-05,3.6841361487904736e-05,-3e-06,1.6e-05,8.200000000000001,13.66,6.26,-0.285,0.7999999999999999,21441.3519154276,22841.465319628925,95000.0,50000.0,295961750406.59375,0.0,0.0,-0.0101337040823086
4.605170185988091e-05,4.374911676688687e-05,3e-06,-2e-06,-3.2,4.79,7.83,0.219,-0.16,20961.794591042355,22167.31569607387,73000.0,80000.0,154578512222.21875,0.0,0.0,-0.0051378064435956
4.605170185988091e-05,3.9143946580898775e-05,-3e-06,1.3e-05,-4.970000000000001,-2.9300000000000006,3.08,-0.294,1.04,21476.626880106483,24431.578834277698,98000.0,80000.0,124497109310.21877,0.0,0.0,0.0244543642056272
4.835428695287496e-05,4.1446531673892815e-05,5e-06,2e-05,8.8,1.1599999999999993,-6.440000000000001,0.3699999999999999,1.2,20103.172290287093,22120.63557219772,74000.0,60000.0,321898021651.5,0.0,0.0,0.0140011175489193
4.1446531673892815e-05,5.0656872045869005e-05,1.6e-05,1.1e-05,1.629,7.689999999999999,7.15,1.3119999999999998,1.089,23321.143095943007,19609.631017021868,82000.0,99000.0,267417713293.625,0.0,0.0,0.0052165966923953
3.9143946580898775e-05,5.0656872045869005e-05,5e-06,1.7e-05,-6.788,-12.260000000000002,-4.520000000000001,0.4349999999999999,0.952,24698.852279665567,18583.582947959887,87000.0,56000.0,202144231856.75,0.0,0.0,-0.0049134548542424
5.0656872045869005e-05,4.605170185988091e-05,1.1e-05,1.7e-05,5.021,7.52,3.91,0.748,1.411,19110.62768684981,21239.65769466209,68000.0,83000.0,451552095047.4375,0.0,0.0,-0.0171148197217695
5.52620422318571e-05,4.605170185988091e-05,1.7e-05,1.6e-05,-4.138,-12.09,-6.96,0.935,0.992,17229.493379433134,20465.17214790119,55000.0,62000.0,323773176037.96875,0.0,0.0,0.0152506896411106
5.295945713886305e-05,3.9143946580898775e-05,-2e-06,9e-06,-3.619,-9.37,-5.129999999999999,-0.162,0.621,18623.51382779913,23831.452783624394,81000.0,69000.0,174263194676.09375,0.0,0.0,0.0027183079180668
4.605170185988091e-05,4.605170185988091e-05,-5e-06,-1e-06,3.606,0.7899999999999996,-2.870000000000001,-0.36,-0.054,20926.310116728484,19908.572014977944,72000.0,54000.0,171665137018.90625,0.0,0.0,-0.0064620612575991
3.6841361487904736e-05,5.52620422318571e-05,-5e-06,-2e-06,4.842,0.2299999999999995,-4.74,-0.3349999999999999,-0.128,24843.7414259631,17568.891586486465,67000.0,64000.0,497721763611.78125,0.0,0.0,0.0009683067797282
5.295945713886305e-05,4.374911676688687e-05,1.4e-05,0.0,7.82,11.71,3.89,0.98,0.0,18418.861588506286,21127.66562632656,70000.0,59000.0,233771879525.6875,0.0,0.0,-0.0049120552163281
5.52620422318571e-05,5.295945713886305e-05,6e-06,4e-06,-1.4860000000000002,-3.81,-1.98,0.384,0.344,17568.891586486465,18683.73345797876,64000.0,86000.0,482825560230.28125,0.0,0.0,-0.0098937169973246
