Dataset,Model,R2,RMSE,MSE,Time
cijs_sci,DecisionTree,0.9187357555853993,0.09655598843962714,0.009323058903553408,0.4712979793548584
cijs_sci,RandomForest,0.9452045190823645,0.07928697243374358,0.006286423997709215,4.260202169418335
cijs_sci,XGBoost,0.9490421650919175,0.07646011501009567,0.005846149187357058,0.47540950775146484
cijs_sci,PhysicsXGB,0.9541904314786345,0.07249491814233747,0.0052555131564642095,9.335898876190186
cijs_xci,DecisionTree,0.5956100644840274,0.20021135482659802,0.04008458660150193,0.3252391815185547
cijs_xci,RandomForest,0.7745530166992061,0.14948952073974817,0.022347116810999598,2.801262855529785
cijs_xci,XGBoost,0.8000852050575364,0.14077028933854832,0.019816274360458613,0.5134706497192383
cijs_xci,PhysicsXGB,0.841806114288448,0.12522279186331847,0.01568074760204398,6.106196641921997
rho_sci,DecisionTree,0.7365347361807442,0.07739385196109794,0.005989808321376343,0.46805286407470703
rho_sci,RandomForest,0.7527686841557736,0.07497155528364055,0.005620734101647972,4.205267667770386
rho_sci,XGBoost,0.7252805730542606,0.07902954219650866,0.006245668539789743,0.6970889568328857
rho_sci,PhysicsXGB,0.9115871065209092,0.0448334936070661,0.002010042149014837,20.414037466049194
rho_xci,DecisionTree,0.3160176147012119,0.16556781165157775,0.027412700255092324,0.3196218013763428
rho_xci,RandomForest,0.5499948323331159,0.1342957288234369,0.018035342780218105,2.6457972526550293
rho_xci,XGBoost,0.7197769637935527,0.10597547384872741,0.011230801057462308,0.40198326110839844
rho_xci,PhysicsXGB,0.66203349974688,0.11638319546508356,0.013545048186663846,8.394346237182617
